iteration,body_id,name,mass,x,y,z,vx,vy,vz
32,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52634,2.11174,-5.18034
32,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20689,-3.30575,-5.81206
32,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95115,-3.8004,-7.52411
33,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52642,2.11168,-5.18017
33,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20681,-3.30568,-5.81221
33,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95113,-3.80088,-7.52424
34,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.5265,2.11162,-5.18001
34,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20673,-3.3056,-5.81235
34,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.9511,-3.80136,-7.52437
35,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52658,2.11155,-5.17985
35,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20666,-3.30552,-5.8125
35,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95108,-3.80183,-7.52449
36,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52667,2.11149,-5.17968
36,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20658,-3.30544,-5.81265
36,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95105,-3.80231,-7.52462
37,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52675,2.11143,-5.17952
